task,n,k,threads,schedule,chunk,trial,time
A,100000,24,4,dynamic,4,5,0.093163
A,100000,24,4,dynamic,16,1,0.095465
A,100000,24,4,dynamic,16,2,0.092558
A,100000,24,4,dynamic,16,3,0.093521
A,100000,24,4,dynamic,16,4,0.092977
A,100000,24,4,dynamic,16,5,0.102801
A,100000,24,4,dynamic,64,1,0.112280
A,100000,24,4,dynamic,64,2,0.093564
A,100000,24,4,dynamic,64,3,0.092972
A,100000,24,4,dynamic,64,4,0.093149
A,100000,24,4,dynamic,64,5,0.093574
A,100000,24,4,guided,1,1,0.109682
A,100000,24,4,guided,1,2,0.094817
A,100000,24,4,guided,1,3,0.116308
A,100000,24,4,guided,1,4,0.105628
A,100000,24,4,guided,1,5,0.093918
A,100000,24,4,guided,4,1,0.092265
A,100000,24,4,guided,4,2,0.092435
A,100000,24,4,guided,4,3,0.096240
A,100000,24,4,guided,4,4,0.100424
A,100000,24,4,guided,4,5,0.107198
A,100000,24,4,guided,16,1,0.092782
A,100000,24,4,guided,16,2,0.092939
A,100000,24,4,guided,16,3,0.095646
A,100000,24,4,guided,16,4,0.102370
A,100000,24,4,guided,16,5,0.095634
A,100000,24,4,guided,64,1,0.093464
A,100000,24,4,guided,64,2,0.093124
A,100000,24,4,guided,64,3,0.093224
A,100000,24,4,guided,64,4,0.094676
A,100000,24,4,guided,64,5,0.108867
A,100000,24,8,static,auto,1,0.075392
A,100000,24,8,static,auto,2,0.086063
A,100000,24,8,static,auto,3,0.069210
A,100000,24,8,static,auto,4,0.077184
A,100000,24,8,static,auto,5,0.069159
A,100000,24,8,dynamic,1,1,0.060396
A,100000,24,8,dynamic,1,2,0.056211
A,100000,24,8,dynamic,1,3,0.058073
A,100000,24,8,dynamic,1,4,0.060992
A,100000,24,8,dynamic,1,5,0.054036
A,100000,24,8,dynamic,4,1,0.060139
A,100000,24,8,dynamic,4,2,0.058028
A,100000,24,8,dynamic,4,3,0.062259
A,100000,24,8,dynamic,4,4,0.057312
A,100000,24,8,dynamic,4,5,0.061827
A,100000,24,8,dynamic,16,1,0.057609
A,100000,24,8,dynamic,16,2,0.056444
A,100000,24,8,dynamic,16,3,0.058959
A,100000,24,8,dynamic,16,4,0.055908
A,100000,24,8,dynamic,16,5,0.056416
A,100000,24,8,dynamic,64,1,0.073481
